Time_Index,Demand_MW_MG,Demand_MW_SP,Demand_MW_GO,Demand_MW_RJ,Demand_MW_ES,Demand_MW_RO,Demand_MW_MS,Demand_MW_MT,Demand_MW_AC,Demand_MW_DF,Demand_MW_PA,Demand_MW_TO,Demand_MW_MA,Demand_MW_AP,Demand_MW_AM,Demand_MW_RR,Demand_MW_SC,Demand_MW_PR,Demand_MW_RS,Demand_MW_PI,Demand_MW_CE,Demand_MW_RN,Demand_MW_PB,Demand_MW_PE,Demand_MW_AL,Demand_MW_SE,Demand_MW_BA,Demand_MW_ARG,Demand_MW_URY,Demand_MW_VEN,Demand_MW_PRY
55,7203.13,15261.8,2393.81,5401.05,1335.06,505.92,871.81,1143.28,207.38,851.76,1905.94,421.63,1792.16,145.48,717.27,116.52,2801.8,4397.76,4408.44,614.8,1762.2,697.64,783.68,1775.65,547.92,434.24,2894.87,0.0,0.0,0.0,0.0
56,7530.37,15955.14,2502.56,5646.42,1395.71,528.91,911.42,1195.22,216.8,890.46,1802.03,398.64,1694.45,137.55,678.16,110.17,2895.21,4544.38,4555.41,605.49,1735.52,687.08,771.82,1748.76,539.63,427.67,2851.04,0.0,0.0,0.0,0.0
57,8137.95,17242.47,2704.48,6101.99,1508.32,571.58,984.96,1291.65,234.29,962.31,1798.66,397.9,1691.29,137.29,676.9,109.96,3205.61,5031.59,5043.8,650.48,1864.47,738.13,829.17,1878.7,579.72,459.44,3062.88,0.0,0.0,0.0,0.0
58,8540.75,18095.92,2838.34,6404.02,1582.98,599.87,1033.71,1355.58,245.89,1009.94,1901.08,420.55,1787.59,145.11,715.44,116.22,3360.57,5274.81,5287.62,706.97,2026.41,802.24,901.18,2041.87,630.08,499.35,3328.9,0.0,0.0,0.0,0.0
59,8869.43,18792.3,2947.57,6650.46,1643.9,622.96,1073.49,1407.75,255.35,1048.8,1948.55,431.05,1832.23,148.73,733.31,119.13,3419.22,5366.88,5379.9,728.82,2089.03,827.04,929.03,2104.97,649.55,514.78,3431.78,0.0,0.0,0.0,0.0
60,8974.89,19015.75,2982.61,6729.54,1663.44,630.37,1086.25,1424.49,258.39,1061.27,1973.22,436.51,1855.43,150.61,742.59,120.63,3441.91,5402.49,5415.6,748.02,2144.06,848.82,953.5,2160.42,666.66,528.34,3522.17,0.0,0.0,0.0,0.0
61,9012.57,19095.58,2995.14,6757.79,1670.43,633.01,1090.81,1430.47,259.47,1065.73,1985.93,439.32,1867.38,151.58,747.37,121.41,3313.74,5201.32,5213.94,748.02,2144.06,848.82,953.5,2160.42,666.66,528.34,3522.17,0.0,0.0,0.0,0.0
62,9289.63,19682.62,3087.21,6965.54,1721.78,652.47,1124.35,1474.45,267.45,1098.49,1977.71,437.5,1859.65,150.96,744.28,120.91,3455.91,5424.46,5437.63,736.84,2112.01,836.13,939.25,2128.12,656.69,520.44,3469.52,0.0,0.0,0.0,0.0
63,9440.97,20003.26,3137.5,7079.02,1749.83,663.1,1142.66,1498.47,271.81,1116.39,2057.7,455.2,1934.86,157.06,774.38,125.8,3558.25,5585.1,5598.66,763.73,2189.08,866.65,973.53,2205.79,680.66,539.43,3596.14,0.0,0.0,0.0,0.0
64,9461.44,20046.65,3144.31,7094.37,1753.62,664.54,1145.14,1501.72,272.39,1118.81,2152.27,476.12,2023.78,164.28,809.97,131.58,3531.46,5543.04,5556.5,783.77,2246.52,889.39,999.07,2263.66,698.52,553.59,3690.49,0.0,0.0,0.0,0.0
65,9383.01,19880.47,3118.25,7035.56,1739.09,659.03,1135.65,1489.27,270.14,1109.53,2165.35,479.01,2036.08,165.28,814.89,132.38,3473.77,5452.5,5465.73,777.89,2229.66,882.71,991.57,2246.67,693.27,549.43,3662.79,0.0,0.0,0.0,0.0
66,8964.44,18993.62,2979.14,6721.71,1661.51,629.63,1084.99,1422.83,258.09,1060.04,2108.91,466.53,1983.01,160.97,793.65,128.93,3318.57,5208.89,5221.54,752.03,2155.55,853.37,958.61,2172.0,670.23,531.17,3541.04,0.0,0.0,0.0,0.0
67,8502.25,18014.35,2825.54,6375.15,1575.84,597.17,1029.05,1349.47,244.78,1005.38,1997.52,441.89,1878.27,152.47,751.73,122.12,3100.61,4866.79,4878.6,681.05,1952.11,772.83,868.14,1967.01,606.97,481.04,3206.85,0.0,0.0,0.0,0.0
68,8488.94,17986.14,2821.12,6365.17,1573.38,596.24,1027.44,1347.36,244.4,1003.81,1970.61,435.93,1852.97,150.41,741.61,120.47,2965.21,4654.25,4665.55,710.98,2037.89,806.79,906.29,2053.45,633.65,502.18,3347.77,0.0,0.0,0.0,0.0
69,9010.31,19090.81,2994.39,6756.11,1670.01,632.85,1090.54,1430.11,259.41,1065.46,2065.92,457.02,1942.59,157.69,777.48,126.3,3133.68,4918.69,4930.63,729.66,2091.44,827.99,930.1,2107.4,650.3,515.37,3435.73,0.0,0.0,0.0,0.0
70,9112.5,19307.32,3028.35,6832.73,1688.95,640.03,1102.91,1446.33,262.35,1077.55,2107.79,466.28,1981.96,160.89,793.23,128.86,3254.12,5107.74,5120.14,726.69,2082.92,824.62,926.31,2098.81,647.65,513.27,3421.73,0.0,0.0,0.0,0.0
71,9032.63,19138.1,3001.8,6772.84,1674.15,634.42,1093.24,1433.66,260.05,1068.1,2144.42,474.38,2016.4,163.68,807.02,131.1,3257.99,5113.8,5126.21,772.13,2213.17,876.18,984.24,2230.06,688.15,545.37,3635.7,0.0,0.0,0.0,0.0
72,8657.48,18343.23,2877.13,6491.54,1604.61,608.07,1047.84,1374.11,249.25,1023.74,2181.8,482.65,2051.55,166.53,821.08,133.39,3150.34,4944.83,4956.83,776.33,2225.21,880.95,989.59,2242.19,691.89,548.34,3655.49,0.0,0.0,0.0,0.0
73,8209.21,17393.46,2728.16,6155.43,1521.53,576.59,993.58,1302.96,236.34,970.73,2157.13,477.19,2028.35,164.65,811.8,131.88,2941.07,4616.36,4627.57,757.65,2171.67,859.75,965.78,2188.24,675.24,535.14,3567.53,0.0,0.0,0.0,0.0
74,7761.77,16445.43,2579.46,5819.92,1438.6,545.16,939.43,1231.94,223.46,917.82,2124.61,470.0,1997.77,162.17,799.56,129.89,2771.63,4350.4,4360.97,730.25,2093.11,828.65,930.84,2109.08,650.81,515.78,3438.47,0.0,0.0,0.0,0.0
75,7533.24,15961.22,2503.51,5648.56,1396.24,529.11,911.77,1195.67,216.88,890.8,2083.86,460.99,1959.46,159.06,784.23,127.4,2650.46,4160.22,4170.32,711.31,2038.82,807.16,906.7,2054.38,633.94,502.41,3349.29,0.0,0.0,0.0,0.0
76,7385.39,15647.95,2454.38,5537.7,1368.84,518.72,893.87,1172.2,212.62,873.32,2040.88,451.48,1919.04,155.78,768.05,124.77,2583.84,4055.65,4065.5,694.56,1990.83,788.16,885.36,2006.03,619.01,490.58,3270.46,0.0,0.0,0.0,0.0
77,7351.6,15576.36,2443.15,5512.37,1362.58,516.35,889.78,1166.84,211.65,869.32,2009.48,444.53,1889.52,153.38,756.23,122.85,2551.98,4005.65,4015.37,677.63,1942.29,768.94,863.77,1957.11,603.92,478.62,3190.71,0.0,0.0,0.0,0.0
78,7426.96,15736.03,2468.19,5568.87,1376.54,521.64,898.9,1178.8,213.82,878.23,1984.81,439.07,1866.32,151.5,746.95,121.34,2576.36,4043.91,4053.73,673.04,1929.13,763.73,857.92,1943.86,599.83,475.38,3169.1,0.0,0.0,0.0,0.0
79,7552.08,16001.13,2509.77,5662.69,1399.73,530.43,914.05,1198.66,217.42,893.03,1939.21,428.99,1823.44,148.02,729.79,118.56,2614.74,4104.15,4114.11,631.28,1809.44,716.35,804.69,1823.25,562.61,445.88,2972.48,0.0,0.0,0.0,0.0
80,7834.26,16599.02,2603.55,5874.28,1452.04,550.25,948.2,1243.45,225.55,926.4,1829.69,404.76,1720.46,139.66,688.57,111.86,2709.36,4252.66,4262.98,622.3,1783.69,706.15,793.24,1797.3,554.61,439.54,2930.17,0.0,0.0,0.0,0.0
81,8329.63,17648.58,2768.17,6245.71,1543.85,585.05,1008.15,1322.07,239.81,984.97,1812.49,400.95,1704.29,138.35,682.1,110.81,2996.58,4703.5,4714.92,667.29,1912.64,757.21,850.59,1927.24,594.7,471.31,3142.02,0.0,0.0,0.0,0.0
82,8738.98,18515.91,2904.21,6552.65,1619.72,613.8,1057.7,1387.05,251.59,1033.38,1919.02,424.52,1804.46,146.48,722.19,117.32,3124.99,4905.05,4916.96,725.79,2080.32,823.59,925.16,2096.2,646.84,512.63,3417.47,0.0,0.0,0.0,0.0
83,8982.05,19030.93,2984.99,6734.92,1664.77,630.87,1087.12,1425.63,258.59,1062.12,1982.19,438.49,1863.86,151.3,745.97,121.18,3229.99,5069.85,5082.16,749.7,2148.88,850.73,955.65,2165.28,668.16,529.53,3530.09,0.0,0.0,0.0,0.0
84,9023.62,19119.01,2998.81,6766.09,1672.48,633.79,1092.15,1432.23,259.79,1067.04,2023.31,447.59,1902.52,154.44,761.44,123.7,3249.54,5100.54,5112.92,772.0,2212.8,876.04,984.07,2229.69,688.03,545.28,3635.1,0.0,0.0,0.0,0.0
85,9024.24,19120.31,2999.01,6766.55,1672.59,633.83,1092.23,1432.32,259.81,1067.11,2027.8,448.58,1906.74,154.78,763.13,123.97,3102.3,4869.44,4881.26,777.05,2227.25,881.76,990.5,2244.25,692.52,548.84,3658.84,0.0,0.0,0.0,0.0
86,9288.81,19680.89,3086.94,6964.93,1721.63,652.42,1124.25,1474.32,267.42,1098.39,2010.98,444.86,1890.93,153.5,756.8,122.94,3212.61,5042.57,5054.82,761.6,2182.97,864.23,970.81,2199.63,678.76,537.93,3586.09,0.0,0.0,0.0,0.0
87,9343.08,19795.87,3104.97,7005.62,1731.69,656.23,1130.82,1482.93,268.99,1104.81,2087.23,461.73,1962.63,159.32,785.49,127.6,3266.67,5127.44,5139.89,779.31,2233.74,884.32,993.38,2250.78,694.54,550.44,3669.49,0.0,0.0,0.0,0.0
88,9274.89,19651.38,3082.31,6954.49,1719.05,651.44,1122.56,1472.11,267.02,1096.75,2175.44,481.24,2045.57,166.05,818.69,133.0,3216.23,5048.26,5060.51,795.47,2280.06,902.66,1013.98,2297.46,708.94,561.85,3745.58,0.0,0.0,0.0,0.0
89,9086.49,19252.21,3019.7,6813.23,1684.13,638.2,1099.76,1442.2,261.6,1074.47,2190.39,484.55,2059.63,167.19,824.32,133.91,3159.51,4959.23,4971.27,785.51,2251.52,891.37,1001.29,2268.7,700.07,554.82,3698.71,0.0,0.0,0.0,0.0
90,8812.29,18671.24,2928.58,6607.62,1633.31,618.95,1066.57,1398.68,253.71,1042.05,2131.71,471.57,2004.45,162.71,802.23,130.32,3045.82,4780.79,4792.39,750.93,2152.4,852.12,957.21,2168.82,669.25,530.39,3535.87,0.0,0.0,0.0,0.0
